"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.19028060172614,0.285,0.033,0,"2","FAM65B"
0,3.01940503036199,0.273,0.038,0,"2","TNFSF8"
0,2.85975917687813,0.267,0.041,0,"2","LCK"
2.69868537071406e-318,1.66209701282867,0.423,0.135,9.36443823637778e-316,"2","LAMP1"
6.13140314275979e-297,1.14101757985609,0.616,0.264,2.12759689053765e-294,"2","DUSP1"
6.49457590525615e-295,1.99166168255472,0.312,0.082,2.25361783912388e-292,"2","ITGA4"
4.39240864745524e-266,1.96131268032675,0.287,0.075,1.52416580066697e-263,"2","BAX"
2.9153160557257e-245,1.1358486679777,0.488,0.193,1.01161467133682e-242,"2","ITGB2"
2.67399423615892e-228,1.05155543820439,0.477,0.194,9.27875999947145e-226,"2","NAMPT"
3.15428513138488e-227,1.71730526245688,0.295,0.089,1.09453694059055e-224,"2","RPN2"
2.48233412133627e-184,1.61435431875385,0.267,0.086,8.61369940103685e-182,"2","IFITM2"
4.71454863685404e-184,1.5394839956694,0.278,0.092,1.63594837698835e-181,"2","CNOT2"
7.10611737086004e-170,1.47365545584411,0.259,0.086,2.46582272768843e-167,"2","GAPDH"
1.67413107008494e-117,0.913406679257472,0.423,0.217,5.80923481319473e-115,"2","DUSP2"
6.85610349845778e-113,1.17732154237359,0.257,0.106,2.37906791396485e-110,"2","IFITM3"
5.94677808932066e-77,0.482504479629979,0.374,0.203,2.06353199699427e-74,"2","S100A10"
0,5.95138721439728,0.914,0.039,0,"4","NKG7"
0,5.74962297738707,0.878,0.035,0,"4","CST7"
0,5.56937603535859,0.846,0.037,0,"4","IL2RB"
0,4.89153112970216,0.845,0.039,0,"4","KLRB1"
0,3.93571672527058,0.888,0.114,0,"4","RUNX3"
0,3.03746544246633,0.804,0.129,0,"4","CD247"
0,5.47534169276287,0.715,0.067,0,"4","CCL5"
0,2.72273547645273,0.817,0.181,0,"4","ITGB2"
0,2.73753094357693,0.816,0.194,0,"4","DUSP2"
0,5.34821880687621,0.624,0.022,0,"4","FCGR3A"
0,5.67659600229769,0.621,0.027,0,"4","GNLY"
0,6.11654190239896,0.579,0.011,0,"4","KLRF1"
0,2.18022167973645,0.829,0.265,0,"4","DUSP1"
0,1.63736409796194,0.95,0.396,0,"4","BTG1"
0,1.90957533878793,0.763,0.243,0,"4","CD69"
0,5.38274528710041,0.521,0.014,0,"4","GZMB"
0,1.106507082867,0.942,0.445,0,"4","RGS1"
0,1.9853905034712,0.645,0.159,0,"4","ARL4C"
0,4.83935917058832,0.503,0.021,0,"4","CTSW"
0,4.78782791508086,0.492,0.022,0,"4","ITGAM"
0,1.41703698849935,0.714,0.253,0,"4","PTPRC"
0,1.6049182122039,0.813,0.356,0,"4","CXCR4"
0,4.82298688580004,0.468,0.02,0,"4","GZMA"
0,3.73670308716243,0.516,0.076,0,"4","CCL4"
0,2.35046764309616,0.541,0.115,0,"4","FYN"
0,2.56564510872664,0.5,0.093,0,"4","IFITM3"
0,2.84695274143353,0.483,0.077,0,"4","IFITM2"
0,5.88496584497917,0.4,0.008,0,"4","PRF1"
0,2.25528295740213,0.492,0.103,0,"4","FCER1G"
0,2.78928940818486,0.466,0.083,0,"4","IFNGR1"
0,2.61090769319543,0.449,0.087,0,"4","CNOT2"
0,2.32520404038613,0.419,0.08,0,"4","CD63"
0,4.97839041320319,0.351,0.013,0,"4","HAVCR2"
0,1.91697130557128,0.404,0.09,0,"4","LYN"
0,3.4018958586223,0.339,0.032,0,"4","KLRK1"
0,5.42770950697892,0.303,0.008,0,"4","KLRC1"
0,2.52006465115005,0.357,0.066,0,"4","BIN2"
0,5.79304773854451,0.285,0.009,0,"4","IFNG"
0,1.74045114328736,0.995,0.737,0,"4","HLA-A"
0,2.69399475739987,0.299,0.044,0,"4","IRF8"
0,4.91146138002744,0.25,0.009,0,"4","IL18RAP"
0,3.52208308366727,0.256,0.023,0,"4","PIK3AP1"
2.65523711327028e-294,1.78252780572282,0.489,0.145,9.21367278304787e-292,"4","LAMP1"
4.49419385641497e-263,0.93458852626841,0.912,0.501,1.559485268176e-260,"4","FOSB"
5.05826884549568e-259,2.28404079210003,0.298,0.063,1.755219289387e-256,"4","SELPLG"
2.24331869879787e-244,2.14392515819106,0.282,0.059,7.7843158848286e-242,"4","CD8A"
1.37753406047261e-212,1.99772180737768,0.303,0.076,4.78004318983997e-210,"4","CASP5"
6.70500303789728e-195,1.27970115235411,0.369,0.113,2.32663605415036e-192,"4","CCL3"
1.25549820488972e-193,1.56288640735523,0.391,0.127,4.35657877096731e-191,"4","JUN"
3.65754260232027e-173,1.66076425128586,0.323,0.098,1.26916728300514e-170,"4","RPN2"
1.6541262827257e-154,0.606951928950773,0.606,0.253,5.7398182010582e-152,"4","PIK3IP1"
4.54551377021644e-150,1.5177720504471,0.329,0.111,1.57729327826511e-147,"4","CBLB"
1.10071036036368e-102,1.3487937925221,0.262,0.095,3.81946495046199e-100,"4","GAPDH"
2.90839737656689e-100,1.3007207490839,0.268,0.099,1.00921388966871e-97,"4","ITGA4"
4.55148718664551e-87,0.548943328576098,0.585,0.305,1.57936605376599e-84,"4","IL23R"
6.48701494924177e-63,0.770626505812913,0.285,0.132,2.25099418738689e-60,"4","JUNB"
3.41763477496081e-44,1.13037305296881,0.254,0.138,1.1859192669114e-41,"4","IL32"
1.16579037022843e-28,0.46528641758101,0.27,0.159,4.04529258469265e-26,"4","CD48"
5.57429637731261e-25,0.270442908373556,0.338,0.216,1.93428084292748e-22,"4","S100A10"
0,5.27874094970876,0.895,0.099,0,"5","IL1B"
0,5.56649395712807,0.827,0.089,0,"5","S100A9"
0,5.59352849605565,0.769,0.036,0,"5","FCN1"
0,4.57898751440143,0.788,0.09,0,"5","CCL3"
0,4.72764137281927,0.75,0.054,0,"5","BCL2A1"
0,3.22408438728915,0.853,0.19,0,"5","NAMPT"
0,4.69870425013243,0.775,0.13,0,"5","THBS1"
