Cells,BACH2(+),BCL6(+),EGR1(+),FOSB(+),FOXO1(+),FOXP1(+),IKZF1(+),IRF4(+),IRF8(+),JUN(+),JUNB(+),MYC(+),PAX5(+),PRDM1(+),RUNX3(+),STAT1(+),STAT3(+),STAT4(+),STAT5A(+),TBX21(+)
38184,0.03308823529411765,0.045454545454545456,0.0468187274909964,0.03495311167945439,0.041176470588235294,0.041176470588235294,0.017825311942959002,0.024009603841536616,0.019151846785225718,0.0,0.013679890560875513,0.0,0.07563025210084033,0.04481792717086835,0.02295552367288379,0.0546218487394958,0.05330882352941176,0.00980392156862745,0.10034602076124567,0.0
41850,0.04411764705882353,0.0,0.061224489795918366,0.08439897698209718,0.09803921568627451,0.10980392156862745,0.026737967914438502,0.03481392557022809,0.058823529411764705,0.055222088835534214,0.05198358413132695,0.03074866310160428,0.029411764705882353,0.02100840336134454,0.05308464849354376,0.1638655462184874,0.11397058823529412,0.00392156862745098,0.04844290657439446,0.03235294117647059
42175,0.0,0.058823529411764705,0.027611044417767107,0.04092071611253197,0.03529411764705882,0.03529411764705882,0.012477718360071301,0.025210084033613446,0.04240766073871409,0.026410564225690276,0.012311901504787962,0.012032085561497326,0.0546218487394958,0.014005602240896359,0.02582496413199426,0.13445378151260504,0.04963235294117647,0.00980392156862745,0.16608996539792387,0.0
43117,0.0,0.06149732620320856,0.03241296518607443,0.0392156862745098,0.03333333333333333,0.03725490196078431,0.012477718360071301,0.027611044417767107,0.03967168262653899,0.014405762304921969,0.016415868673050615,0.016042780748663103,0.05042016806722689,0.02100840336134454,0.03156384505021521,0.14285714285714285,0.04411764705882353,0.00196078431372549,0.14186851211072665,0.0
48631,0.0,0.07754010695187166,0.04081632653061224,0.027280477408354646,0.054901960784313725,0.043137254901960784,0.0213903743315508,0.012004801920768308,0.004103967168262654,0.007202881152460984,0.016415868673050615,0.0,0.09243697478991597,0.03361344537815126,0.015781922525107604,0.09243697478991597,0.06985294117647059,0.01764705882352941,0.1245674740484429,0.0
48907,0.09926470588235294,0.0,0.06482593037214886,0.07672634271099744,0.09803921568627451,0.1,0.012477718360071301,0.027611044417767107,0.036935704514363885,0.024009603841536616,0.04377564979480164,0.02807486631016043,0.1134453781512605,0.023809523809523808,0.07890961262553801,0.09663865546218488,0.1213235294117647,0.0058823529411764705,0.0,0.058823529411764705
52595,0.022058823529411766,0.0481283422459893,0.03601440576230492,0.0392156862745098,0.03725490196078431,0.021568627450980392,0.0053475935828877,0.030012004801920768,0.038303693570451436,0.021608643457382955,0.024623803009575923,0.020053475935828877,0.004201680672268907,0.011204481792717087,0.02295552367288379,0.11764705882352941,0.03125,0.01764705882352941,0.1453287197231834,0.014705882352941176
53748,0.05514705882352941,0.06149732620320856,0.026410564225690276,0.03410059676044331,0.021568627450980392,0.0392156862745098,0.030303030303030304,0.024009603841536616,0.016415868673050615,0.008403361344537815,0.009575923392612859,0.0213903743315508,0.01680672268907563,0.02661064425770308,0.04447632711621234,0.07983193277310924,0.03860294117647059,0.0,0.1522491349480969,0.052941176470588235
56150,0.15441176470588236,0.01871657754010695,0.058823529411764705,0.05115089514066496,0.049019607843137254,0.045098039215686274,0.012477718360071301,0.0468187274909964,0.04240766073871409,0.05042016806722689,0.04514363885088919,0.03208556149732621,0.03361344537815126,0.036414565826330535,0.03730272596843615,0.07563025210084033,0.10110294117647059,0.011764705882352941,0.12802768166089964,0.026470588235294117
56299,0.0,0.040106951871657755,0.04441776710684274,0.040068201193520885,0.0392156862745098,0.03725490196078431,0.0196078431372549,0.030012004801920768,0.03967168262653899,0.022809123649459785,0.04103967168262654,0.02540106951871658,0.1092436974789916,0.029411764705882353,0.01721664275466284,0.12605042016806722,0.04595588235294118,0.023529411764705882,0.1314878892733564,0.0
56383,0.022058823529411766,0.03208556149732621,0.07082833133253301,0.0886615515771526,0.08823529411764706,0.12745098039215685,0.0374331550802139,0.03481392557022809,0.036935704514363885,0.03361344537815126,0.06429548563611491,0.03609625668449198,0.04201680672268908,0.037815126050420166,0.058823529411764705,0.13865546218487396,0.08088235294117647,0.0,0.04844290657439446,0.04411764705882353
62716,0.0625,0.0374331550802139,0.031212484993997598,0.023870417732310314,0.03725490196078431,0.021568627450980392,0.0,0.013205282112845138,0.01094391244870041,0.009603841536614645,0.012311901504787962,0.0106951871657754,0.02100840336134454,0.023809523809523808,0.03156384505021521,0.0546218487394958,0.04595588235294118,0.049019607843137254,0.10034602076124567,0.0
69719,0.0,0.07754010695187166,0.03841536614645858,0.0392156862745098,0.021568627450980392,0.021568627450980392,0.017825311942959002,0.04201680672268908,0.023255813953488372,0.0,0.0,0.0,0.04201680672268908,0.0392156862745098,0.024390243902439025,0.0546218487394958,0.06066176470588235,0.03725490196078431,0.10034602076124567,0.0
72413,0.029411764705882353,0.040106951871657755,0.03241296518607443,0.03751065643648764,0.021568627450980392,0.03529411764705882,0.0,0.012004801920768308,0.013679890560875513,0.006002400960384154,0.006839945280437756,0.0066844919786096255,0.012605042016806723,0.05042016806722689,0.043041606886657105,0.08403361344537816,0.03860294117647059,0.027450980392156862,0.11764705882352941,0.041176470588235294
72417,0.0,0.0427807486631016,0.04201680672268908,0.05285592497868713,0.03333333333333333,0.041176470588235294,0.008912655971479501,0.05402160864345738,0.06566347469220246,0.03961584633853541,0.028727770177838577,0.020053475935828877,0.06302521008403361,0.025210084033613446,0.040172166427546625,0.14285714285714285,0.08455882352941177,0.013725490196078431,0.1384083044982699,0.0
76622,0.09926470588235294,0.040106951871657755,0.03601440576230492,0.0392156862745098,0.023529411764705882,0.023529411764705882,0.0213903743315508,0.01920768307322929,0.03419972640218878,0.01800720288115246,0.012311901504787962,0.0,0.008403361344537815,0.02661064425770308,0.028694404591104734,0.0546218487394958,0.04411764705882353,0.00980392156862745,0.10034602076124567,0.023529411764705882
77994,0.0,0.045454545454545456,0.021608643457382955,0.026427962489343565,0.0392156862745098,0.01764705882352941,0.0,0.024009603841536616,0.019151846785225718,0.0,0.0,0.0,0.03361344537815126,0.018207282913165267,0.035868005738880916,0.0546218487394958,0.051470588235294115,0.00980392156862745,0.10034602076124567,0.03235294117647059
79970,0.03308823529411765,0.0106951871657754,0.06962785114045618,0.08098891730605286,0.06862745098039216,0.10196078431372549,0.0213903743315508,0.04561824729891957,0.06976744186046512,0.061224489795918366,0.06566347469220246,0.05080213903743316,0.04201680672268908,0.023809523809523808,0.07890961262553801,0.1638655462184874,0.10110294117647059,0.01764705882352941,0.04844290657439446,0.058823529411764705
81893,0.0,0.045454545454545456,0.010804321728691477,0.03495311167945439,0.0392156862745098,0.01764705882352941,0.016042780748663103,0.03601440576230492,0.03283173734610123,0.012004801920768308,0.0,0.0,0.03361344537815126,0.03081232492997199,0.02295552367288379,0.05042016806722689,0.05330882352941176,0.00980392156862745,0.09688581314878893,0.03235294117647059
84338,0.029411764705882353,0.040106951871657755,0.0468187274909964,0.0443307757885763,0.03137254901960784,0.03137254901960784,0.053475935828877004,0.024009603841536616,0.023255813953488372,0.04201680672268908,0.04240766073871409,0.03342245989304813,0.05042016806722689,0.04341736694677871,0.018651362984218076,0.1092436974789916,0.04779411764705882,0.01568627450980392,0.15570934256055363,0.0
84776,0.03676470588235294,0.0374331550802139,0.0468187274909964,0.045183290707587385,0.03529411764705882,0.047058823529411764,0.0196078431372549,0.027611044417767107,0.04103967168262654,0.02040816326530612,0.027359781121751026,0.01871657754010695,0.0546218487394958,0.037815126050420166,0.024390243902439025,0.11764705882352941,0.0625,0.0,0.1314878892733564,0.0
86565,0.0,0.0748663101604278,0.03241296518607443,0.0392156862745098,0.029411764705882353,0.03137254901960784,0.008912655971479501,0.010804321728691477,0.012311901504787962,0.026410564225690276,0.023255813953488372,0.029411764705882353,0.046218487394957986,0.04481792717086835,0.011477761836441894,0.08823529411764706,0.042279411764705885,0.07254901960784314,0.09688581314878893,0.029411764705882353
