Cells,BACH2(+),BCL6(+),EGR1(+),FOSB(+),FOXO1(+),FOXP1(+),IKZF1(+),IRF4(+),IRF8(+),JUN(+),JUNB(+),MYC(+),PAX5(+),PRDM1(+),RUNX3(+),STAT1(+),STAT3(+),STAT4(+),STAT5A(+),TBX21(+)
268328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
276339,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
276995,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
278893,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
283254,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
288817,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
293598,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
294920,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
297784,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
299822,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
306573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
312419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312429,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
313435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
315048,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
316661,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
316828,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0
319009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
322362,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
323933,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
324524,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
326702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
327342,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
