TF,target,importance
LEF1,TRAC,7.8501694523517855
JUNB,CD69,7.846848653541875
BCL11B,LEF1,7.812817842743329
MYC,FOSB,7.802748850498327
FOSB,EGR3,7.797866617347223
IRF4,CD4,7.796239954439715
RUNX3,FYN,7.761294264397453
PRDM1,LGALS1,7.747539993693618
LEF1,GIMAP2,7.738273194429217
PAX5,CD1C,7.677104886081445
RUNX3,CD247,7.670817219471713
LEF1,TRIB2,7.613420392534756
JUN,CXCR4,7.579333550586506
FOSB,IL18,7.555072051771537
BCL11B,FOSB,7.549404196959505
RUNX3,CCL4,7.532410443440303
STAT5A,TYMS,7.526173397427967
LEF1,FYB,7.504840814770353
MYC,KIAA0101,7.43719844721955
PRDM1,CXCL3,7.4095891859762935
LEF1,TRAT1,7.398913476912447
BACH2,TCF7,7.398412651459359
BAX,HLA-A,7.364151002009162
PAX5,CD74,7.316501843352915
PRDM1,VEGFA,7.314217167792298
FOSB,THBS1,7.298722317894112
STAT5A,CPA3,7.285838252490813
STAT1,CD38,7.276089176996567
FOSB,JUNB,7.262425913075174
FOXP3,DUSP4,7.172691110892796
IRF4,TGFBI,7.167098447430716
FOSB,CXCL16,7.162713069685784
JUNB,CD27,7.161734851018078
LEF1,PTPRC,7.1481371870826464
PRDM1,CCL2,7.147461150747353
FOSB,KLRG1,7.129020109504425
PRDM1,CD163,7.128015059759325
RUNX3,PRDM1,7.108979135370625
PAX5,LY86,7.095360180035698
RUNX3,CD33,7.084102272001319
TBX21,CD160,7.078142470996512
LEF1,FOXP1,7.073331841608242
POU2AF1,CD79A,7.072262902831373
FOSB,CXCR2,7.068980634005545
LEF1,ADA,7.0420811104802725
FOSB,QPCT,7.010184925935346
FOSB,FCER1G,7.001469306136787
BCL11B,CXCR4,6.997552277128295
FOSB,TLR2,6.994248116872449
PRDM1,S100A9,6.980199366144781
JUNB,LAMP3,6.969496406265555
XBP1,C1QB,6.962626319327107
RUNX3,DUSP2,6.95470434715281
RUNX3,SELPLG,6.917814815958706
IKZF1,CTLA4,6.852805766438312
FOSB,DUSP1,6.838265272388113
EGR1,SNCA,6.832158856839343
MYC,CLEC4D,6.806130709435455
IRF8,ICAM1,6.787572232731317
EGR1,TGFB1,6.741970110365
LEF1,IL4R,6.741882340736607
RUNX3,BIN2,6.733777248212587
IRF4,IL3RA,6.724082928899457
PRDM1,CXCL8,6.704933325213734
FOSB,BCL6,6.698211569198121
FOSL1,CD163,6.67800606995154
RUNX3,IFNGR1,6.648123456102952
BCL6,LAMP3,6.626161852496801
IRF8,CXCR2,6.5994384213699995
JUNB,CTLA4,6.57551549879036
PRDM1,CCL20,6.571471467698677
FOSB,CCL20,6.56462493755533
LEF1,DPP4,6.543443163632709
FOSB,CLEC4D,6.526359117647948
IRF8,LYN,6.522267502602916
FOXP1,BTG1,6.496056896511098
PRDM1,FOXP3,6.483358354679658
EGR1,IER3,6.435559745576341
STAT6,NT5E,6.4230003036353365
FOSL1,TREM1,6.363347023572589
LEF1,TRBC2,6.338083963897843
MYC,KLRC4,6.32812261852
LEF1,CD69,6.32425815726692
FOXP1,HLA-A,6.319706319099686
FOSB,LEF1,6.313594303887207
FOSB,IL1RN,6.289519121342503
PRDM1,CCL3,6.285702554500068
FOSB,ARL4C,6.247479834769027
FOSB,CD37,6.241200465937371
RUNX3,PTPRC,6.231117990469604
LEF1,ITGAE,6.223065446231958
FOSB,RUNX3,6.216680240030018
FOSL1,TNFSF10,6.195718935775401
BCL11B,BCL2,6.185430864144529
BCL11B,CD3E,6.172374080299244
BAX,SLC25A37,6.146365283196263
FOSB,PIK3IP1,6.120108812702725
STAT4,IL18R1,6.1000990224562655
LEF1,CD8B,6.0971042084906735
FOSB,CD63,6.0767644802776
RUNX3,LAMP1,6.0523169010772015
FOSB,HLA-DRA,6.040937837947307
MYC,CCL2,6.028147220489485
EGR1,ALAS2,6.02438130874731
MYC,UBE2C,6.01812236032498
LEF1,MYC,6.008760692480906
JUNB,CTSD,5.996034614318918
LEF1,JUNB,5.977964181408479
IKZF1,VEGFA,5.952712461272852
JUN,CD34,5.951096298892668
LEF1,S100A9,5.95057194589241
PAX5,TCL1A,5.950223750974577
BCL11B,IKZF1,5.948268124429413
JUNB,LEF1,5.944317802560026
RUNX3,IL18R1,5.924276486070453
FOXP1,TNFSF14,5.918134489980015
FOSB,CD44,5.917978498953227
FOXP1,ALAS2,5.915205933568314
PRDM1,BCL2A1,5.9094048004141015
IRF8,RNASE6,5.906682115352259
PRDM1,IER3,5.895845609415289
FOSB,CD52,5.874169975658706
BCL11B,CD52,5.859894515173217
BCL11B,IL7R,5.846599628336802
PRDM1,CD1C,5.835076449344882
PAX5,HLA-DRA,5.83339362055263
LEF1,BCL2,5.823842012433592
BCL11B,HLA-A,5.821256232662848
EGR1,KLRG1,5.820490671347786
EGR1,JUN,5.808435732629597
STAT5A,TMEM97,5.798121351021554
BAX,RGS1,5.7973092303969675
BAX,RPN2,5.790869886124585
JUN,ENTPD1,5.779769432611514
POU2AF1,CD1C,5.778652519283955
JUNB,DUSP1,5.755738647487208
FOXP1,SLC25A37,5.754623514342319
POU2AF1,CD24,5.732013487998478
MYC,BTG1,5.717915662285634
LEF1,FOXO1,5.7130748094693775
FOSB,ITGAX,5.7108571408860165
EGR3,IL6,5.706473555284305
FOSB,CCL4,5.705705277424233
FOXP1,BACH2,5.7034759084405335
FOSB,GAB2,5.698952804159886
FOSB,CCL2,5.6957685359424
JUN,PTPRC,5.68308409298503
